Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,1.3032,0.5789,0.5865,0.5865,0.7456,0.8371,0.8291,inf
2,1.0135,0.5422,0.5444,0.5444,0.7642,0.8371,0.8366,0.5789
3,0.8841,0.5639,0.5720,0.5720,0.7605,0.8165,0.8219,0.5422
4,0.7883,0.5554,0.5671,0.5671,0.7598,0.8008,0.8073,0.5422
5,0.7138,0.5393,0.5541,0.5541,0.7631,0.7753,0.7848,0.5422
6,0.6569,0.5377,0.5501,0.5501,0.7647,0.8036,0.8106,0.5393
7,0.6074,0.5533,0.5615,0.5615,0.7693,0.8161,0.8203,0.5377
8,0.5767,0.5589,0.5785,0.5785,0.7594,0.7665,0.7768,0.5377
9,0.5482,0.5385,0.5553,0.5553,0.7607,0.8206,0.8245,0.5377
10,0.5294,0.5733,0.5765,0.5765,0.7661,0.8096,0.8157,0.5377
11,0.5094,0.5430,0.5487,0.5487,0.7674,0.8068,0.8134,0.5377
12,0.4902,0.5653,0.5697,0.5697,0.7593,0.8158,0.8205,0.5377
13,0.4747,0.5390,0.5537,0.5537,0.7583,0.7866,0.7950,0.5377
14,0.4652,0.5379,0.5511,0.5511,0.7596,0.7847,0.7933,0.5377
15,0.4606,0.5552,0.5624,0.5624,0.7644,0.8118,0.8174,0.5377
16,0.4398,0.5549,0.5666,0.5666,0.7563,0.8128,0.8174,0.5377
